English Word,class,Anglish (attested),Anglish (unattested),cleaned unattested,,,,,,,,,,,,,,,,,,,,,,,,,
Mardi Gras,n,Shrove Tuesday,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
marijuana,n,"hempstreet talk: grass, weed",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
marine,n,-,shipyæger,shipyæger,,,,,,,,,,,,,,,,,,,,,,,,,
marine park,n,-,water-frith,water-frith,,,,,,,,,,,,,,,,,,,,,,,,,
marionette,n,-,"stringdoll, marydoll",stringdoll, marydoll,,,,,,,,,,,,,,,,,,,,,,,,
maritime,adj,sealike,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
marjoram,n,-,kingswort (<OE cyningeswyrt),kingswort ,<OE cyningeswyrt),,,,,,,,,,,,,,,,,,,,,,,,
market,n,-,chepstow (town on the Welsh border),chepstow ,town on the Welsh border),,,,,,,,,,,,,,,,,,,,,,,,
marquess,n,-,athelman,athelman,,,,,,,,,,,,,,,,,,,,,,,,,
marriage,n,"wedding, handfast, wedlock",gathership (<OE gaderscipe),gathership ,<OE gaderscipe),,,,,,,,,,,,,,,,,,,,,,,,
marry,vb,"wed, tie",awn,awn,,,,,,,,,,,,,,,,,,,,,,,,,
marsupial,n,-,pursedeer (cf. Dn. pungdyr),pursedeer ,cf. Dn. pungdyr),,,,,,,,,,,,,,,,,,,,,,,,
martyr,n,-,"bloot (<OE (ge)blot, 'sacrifice'), rood-bearer, kither (from Modern English kithe <OE cyðere), witness (Gr. martyreo means 'I witness, I tell about'; Ar. also uses same root for witness and martyr)",bloot ,<OE ,ge)blot, 'sacrifice'), rood-bearer, kither ,from Modern English kithe <OE cyðere), witness ,Gr. martyreo means 'I witness, I tell about'; Ar. also uses same root for witness and martyr),,,,,,,,,,,,,,,,
martial art(s),n,-,wyecraft(s),wyecraft,s),,,,,,,,,,,,,,,,,,,,,,,,
marvel,n/vb,"wonder, wilder",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
marvelous,adj,"wonderful, wulderly, selcouth",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mask,n/vb,hide,"grime (<OE grīma), mesh, greem (<OE, to show it is like grime, but not the same meaning as modern English)",grime ,<OE grīma), mesh, greem ,<OE, to show it is like grime, but not the same meaning as modern English),,,,,,,,,,,,,,,,,,,
masochism,n,"achelove, achelust",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
masochist,n,"seeksorrow, achelover, acheluster",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mason,n,stonecutter,"stonewright, wallwright",stonewright, wallwright,,,,,,,,,,,,,,,,,,,,,,,,
masonry,n,"stonecraft, stonework",wallwork,wallwork,,,,,,,,,,,,,,,,,,,,,,,,,
masque,n,-,meshplay,meshplay,,,,,,,,,,,,,,,,,,,,,,,,,
masquerade,n,-,meshtumb,meshtumb,,,,,,,,,,,,,,,,,,,,,,,,,
mass,n,"bulk, inweight, lot, deal",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mass media,n,-,bulk means,bulk means,,,,,,,,,,,,,,,,,,,,,,,,,
massacre,n,slaughter,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
masticate,vb,chew,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
master,n,"head, lord",reeve,reeve,,,,,,,,,,,,,,,,,,,,,,,,,
mastodon,n,-,breasttooth (calque of Greek),breasttooth ,calque of Greek),,,,,,,,,,,,,,,,,,,,,,,,
masturbate,vb,"frig (OE: frygian (“to rub, caress”)), wank",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
match,n,"game, tie, head-to-head; mate, fellow; twin, lookalike; light (stick)","(to light a fire) strikewood, kindlewood (like German)",to light a fire) strikewood, kindlewood ,like German),,,,,,,,,,,,,,,,,,,,,,,
material,adj,weighty,bodilike,bodilike,,,,,,,,,,,,,,,,,,,,,,,,,
maternal,adj,motherly,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mathematics,n,-,"rimecraft (<OE rīmcræft), tellcraft, reckonlore",rimecraft ,<OE rīmcræft), tellcraft, reckonlore,,,,,,,,,,,,,,,,,,,,,,
matrimony,n,wedlock,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
matrix,n,womb; listing; spreadsheet,feedingbottom (Du. voedingsbodem); yetshape (calque of Du. gietvorm),feedingbottom ,Du. voedingsbodem); yetshape ,calque of Du. gietvorm),,,,,,,,,,,,,,,,,,,,,,,
matter,n,-,"andwork (<OE andweorc), inting (<OE intinga)",andwork ,<OE andweorc), inting ,<OE intinga),,,,,,,,,,,,,,,,,,,,,,
mature,adj,"grown, ripe",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
maxilla,n,jawbone,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
maximum,n/adj,"uttermost, utmost, most",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
May,n,-,"Threemilkmonth, (<OE Þrimeolce, Þrimilcemonað), Merrymonth",Threemilkmonth, ,<OE Þrimeolce, Þrimilcemonað), Merrymonth,,,,,,,,,,,,,,,,,,,,,
mayhem,n,"crippling,",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mayonnaise,n,yolkdip,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mayor,n,-,"boroughreeve, townreeve, burgelder(<OE)",boroughreeve, townreeve, burgelder,<OE),,,,,,,,,,,,,,,,,,,,,,
mea culpa,,my bad,"by my misdeed, through my wrongdoing.",by my misdeed, through my wrongdoing.,,,,,,,,,,,,,,,,,,,,,,,,
measure,n/vb,"beat, mete",meal (<OE mǣl),meal ,<OE mǣl),,,,,,,,,,,,,,,,,,,,,,,,
mechanics,n,-,workcraft (<OE weorccræft),workcraft ,<OE weorccræft),,,,,,,,,,,,,,,,,,,,,,,,
media,n,-,means,means,,,,,,,,,,,,,,,,,,,,,,,,,
mediate,adj,"halfway, midmost",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mediator,n,-,"formiddler, makefrith, middleman",formiddler, makefrith, middleman,,,,,,,,,,,,,,,,,,,,,,,
medicine,n,healing (substance),"leechwort, leechdom (field of.), leechcraft (field of.), leechlore (field of.) , healcraft",leechwort, leechdom ,field of.), leechcraft ,field of.), leechlore ,field of.) , healcraft,,,,,,,,,,,,,,,,,,
medieval,adj,-,middle eld,middle eld,,,,,,,,,,,,,,,,,,,,,,,,,
mediocre,adj,"middling, halfway",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
meditate,vb,-,"hedge, huy (<OE hycgan)\nsin/sun (<OE sinnan) 'sun' by analogy to 'run' - <OE rinnan to avoid, negative connotation with ""sin"")\nsmay (<OE smeagan/smean)\nthreed (<OE þreodian)\nforsink (calque of NHG versenken, senken ""to lower"" being a causative form of sinken ""to sink"" akin to OE sencan)",hedge, huy ,<OE hycgan)\nsin/sun ,<OE sinnan) 'sun' by analogy to 'run' - <OE rinnan to avoid," negative connotation with ""sin"")\nsmay ",<OE smeagan/smean)\nthreed ,<OE þreodian)\nforsink ,calque of NHG versenken," senken ""to lower"" being a causative form of sinken ""to sink"" akin to OE sencan)",,,,,,,,,,,,,,,,,
Mediterranean Sea,n,-,Wendlesea (<Vandal seafarers),Wendlesea ,<Vandal seafarers),,,,,,,,,,,,,,,,,,,,,,,,
medium,adj,-,"evenspan, midbulky",evenspan, midbulky,,,,,,,,,,,,,,,,,,,,,,,,
medley,n,"mashup, mix",,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
mega-,p\nfx,-,mickle (<OE micel),mickle ,<OE micel),,,,,,,,,,,,,,,,,,,,,,,,
megalodon,n,-,"mickletooth (calque of Greek)\ngreat-haye, great-highcarl, great dog fish",mickletooth ,calque of Greek)\ngreat-haye, great-highcarl, great dog fish,,,,,,,,,,,,,,,,,,,,,,
megalopolis,n,-,mickleborough,mickleborough,,,,,,,,,,,,,,,,,,,,,,,,,
megaphone,n,"bullhorn, loudhailer",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
meiosis,n,-,frumecleaving,frumecleaving,,,,,,,,,,,,,,,,,,,,,,,,,
melancholy,adj,"dreary, heartbreaking, heartrending, mournful, saddening, teary; cast down, down in the-mouth, forlorn, gloomy, woebegone, sorrowful",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
melee,n,tussle,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
melody,n,-,"gleestaff (<OE gliwstæf)lin (OE hlynian; cf. Ic. hljómr), earworm",gleestaff ,<OE gliwstæf)lin ,OE hlynian; cf. Ic. hljómr), earworm,,,,,,,,,,,,,,,,,,,,,,
melon,n,-,"rindberry, shellberry, barkberry",rindberry, shellberry, barkberry,,,,,,,,,,,,,,,,,,,,,,,
member,n,"limb, fellow, belonger, link",belongand,belongand,,,,,,,,,,,,,,,,,,,,,,,,,
membrane,n,film,skinkin (cf. NHG Häutchen),skinkin ,cf. NHG Häutchen),,,,,,,,,,,,,,,,,,,,,,,,
memory,n,"mimor, mind's eye, mind's ear, min","eftminding, bemindings, inmind, mindskill, mindlikeness, yemind (<OE ġemynd)",eftminding, bemindings, inmind, mindskill, mindlikeness, yemind ,<OE ġemynd),,,,,,,,,,,,,,,,,,,
menagerie,n,-,"housekeep (calque)\ndeerkeep, wightkeep\nwildhouse, deerhouse, wighthouse",housekeep ,calque)\ndeerkeep, wightkeep\nwildhouse, deerhouse, wighthouse,,,,,,,,,,,,,,,,,,,,,
meningitis,n,-,brimshell addle,brimshell addle,,,,,,,,,,,,,,,,,,,,,,,,,
menstrual,adj,monthly,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
menstruate,vb,monthbleed,moonbleed,moonbleed,,,,,,,,,,,,,,,,,,,,,,,,,
mental,adj,"mindly, inward, mindlike, mind-",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mentality,n,"mindset, outlook",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mention,vb,"name, speak of, say something of, bring up, hint at",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
menu,n,-,"walelist, mealsheet",walelist, mealsheet,,,,,,,,,,,,,,,,,,,,,,,,
mercenary,n,-,hireling,hireling,,,,,,,,,,,,,,,,,,,,,,,,,
merchant,n,"chapman, trader",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
merchandise,n,"wares, goods, stocks",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
merchandising,n,-,(direct to public): delling,direct to public): delling,,,,,,,,,,,,,,,,,,,,,,,,,
merciful,adj,"forgiving, mildhearted",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
merciless,adj,ruthless,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
mercury,n,quicksilver,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mercy,n,"kindness, ruth",milts (<OE),milts ,<OE),,,,,,,,,,,,,,,,,,,,,,,,
merge,vb,"blend, meld",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
meridian,n,"high noon, high-water line",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
merit,n,"meed, worth","theen, winst (cf. Du. winst)",theen, winst ,cf. Du. winst),,,,,,,,,,,,,,,,,,,,,,,
merry-go-round,n,-,merry-werve,merry-werve,,,,,,,,,,,,,,,,,,,,,,,,,
Mesolithic,n,-,Middle Stoneseldth,Middle Stoneseldth,,,,,,,,,,,,,,,,,,,,,,,,,
Mesopotamia,n,-,"Mesopotamland, or translated as Bearithland (shortening of bear 'fertile' + rith 'stream') Twixtrith (meso = between)",Mesopotamland, or translated as Bearithland ,shortening of bear 'fertile' + rith 'stream') Twixtrith ,meso = between),,,,,,,,,,,,,,,,,,,,,,
meson,n,-,midmote,midmote,,,,,,,,,,,,,,,,,,,,,,,,,
message,n,"earful, tiding, wire, word","errandwrit, boding, errandbook (<OE ǽrendbóc)\nberight (cf. Du. berecht)",errandwrit, boding, errandbook ,<OE ǽrendbóc)\nberight ,cf. Du. berecht),,,,,,,,,,,,,,,,,,,,,
meta-,prefix,over-,after-,after-,,,,,,,,,,,,,,,,,,,,,,,,,
metal,n,-,"bloom (<OE blóma), orestuff",bloom ,<OE blóma), orestuff,,,,,,,,,,,,,,,,,,,,,,,
metamorphosis,n,-,"forwandling (cf. NHG Verwandlung), overshift",forwandling ,cf. NHG Verwandlung), overshift,,,,,,,,,,,,,,,,,,,,,,,
metaphor,n,"kenning, sameness",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
metaphoric(al),adj,-,"kenningly, kenning",kenningly, kenning,,,,,,,,,,,,,,,,,,,,,,,,
meteor,n,"falling star, shooting star","strealer,\nYondaloft, Aloftmote,\nAloftstreal, Overloft, Overloftling, Aloftwist (loft- + 'wist' - being), \nMidloft (since greek meta- is akin to mid- in germanic languages)",strealer,\nYondaloft, Aloftmote,\nAloftstreal, Overloft, Overloftling, Aloftwist ,loft- + 'wist' - being), \nMidloft ,since greek meta- is akin to mid- in germanic languages),,,,,,,,,,,,,,,,
meteorology,,-,"Overloftlore, Aloftlore, Lofthelmlore",Overloftlore, Aloftlore, Lofthelmlore,,,,,,,,,,,,,,,,,,,,,,,
meter (poetry),n,-,"tal (<OE getæl 'rhythm, harmony')",tal ,<OE getæl 'rhythm, harmony'),,,,,,,,,,,,,,,,,,,,,,,
methane,n,-,firedamp,firedamp,,,,,,,,,,,,,,,,,,,,,,,,,
method,n,"way, means","thewline, shedding (cf. OE gescéad), Doway,\niway, iwone, bewoning, ilode, Belode",thewline, shedding ,cf. OE gescéad), Doway,\niway, iwone, bewoning, ilode, Belode,,,,,,,,,,,,,,,,,
metropolis,n,-,"mickleborough, mickleburgh",mickleborough, mickleburgh,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,n,-,Moonsnavel,Moonsnavel,,,,,,,,,,,,,,,,,,,,,,,,,
mezozoicum,n,-,midlife eldth,midlife eldth,,,,,,,,,,,,,,,,,,,,,,,,,
micro-,prefix,small-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
microscope,n,-,speckseer,speckseer,,,,,,,,,,,,,,,,,,,,,,,,,
Midgard,n,-,"Midgarth, Midyard",Midgarth, Midyard,,,,,,,,,,,,,,,,,,,,,,,,
migrate,vb,-,outwander (cf. NHG auswandern),outwander ,cf. NHG auswandern),,,,,,,,,,,,,,,,,,,,,,,,
militarist(ic),n/adj,hawk(ish),-,-,,,,,,,,,,,,,,,,,,,,,,,,,
military,n/adj,landmight(ly),"ferd (<OE fyrd), campdom\nexpedition: axfaring (<OE æxfaru)",ferd ,<OE fyrd), campdom\nexpedition: axfaring ,<OE æxfaru),,,,,,,,,,,,,,,,,,,,,,
militia,n,-,folkward,folkward,,,,,,,,,,,,,,,,,,,,,,,,,
millennia,n,yearthousands,thousandyears,thousandyears,,,,,,,,,,,,,,,,,,,,,,,,,
millennium,n,yearthousand,thousandyear,thousandyear,,,,,,,,,,,,,,,,,,,,,,,,,
millimeter,n,-,"twisandbeat (Anglish ""twisand"" (million) + ""beat"" (measure)), twisandmeter(<E mete 'to measure', meter 'that which measures')",twisandbeat ,"Anglish ""twisand"" ","million) + ""beat"" ",measure)), twisandmeter,<E mete 'to measure', meter 'that which measures'),,,,,,,,,,,,,,,,,,,
million,n,thousand thousand,"micklered (<OE mycel 'much, great' cognate to Gk. megas, ""mega-"" being the SI prefix for ""million"" + '-red, as in 'hundred')\ntwisand (<Anglish twi- 'two' + -sand, as in 'thousand')",micklered ,<OE mycel 'much, great' cognate to Gk. megas," ""mega-"" being the SI prefix for ""million"" + '-red", as in 'hundred')\ntwisand ,<Anglish twi- 'two' + -sand, as in 'thousand'),,,,,,,,,,,,,,,,,,,
mince,vb,-,hack,hack,,,,,,,,,,,,,,,,,,,,,,,,,
mine (weapon),n,-,delf: explosive: stillblaster,delf: explosive: stillblaster,,,,,,,,,,,,,,,,,,,,,,,,,
mine (place from which ore is extracted),n,-,groove (cf. Ger. Grube; Du. Groeve),groove ,cf. Ger. Grube; Du. Groeve),,,,,,,,,,,,,,,,,,,,,,,,
mine,vb,delve,groove,groove,,,,,,,,,,,,,,,,,,,,,,,,,
mineral,n,ore,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mini-,prefix,"small-, lesser",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
minimize,vb,"lessen, downplay, belittle",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
minister,n,-,"rede, ambighter",rede, ambighter,,,,,,,,,,,,,,,,,,,,,,,,
Ministerium für Staatssicherheit (Stasi),n,-,Ambight for Ricksickerhood (calque),Ambight for Ricksickerhood ,calque),,,,,,,,,,,,,,,,,,,,,,,,
ministry,n,-,ambight,ambight,,,,,,,,,,,,,,,,,,,,,,,,,
minstrel,n,"gleeman, folksinger",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
minor,adj,-,youngling,youngling,,,,,,,,,,,,,,,,,,,,,,,,,
minority,n,-,"lesserness, lesserhood (cf. NHG Minderheit)",lesserness, lesserhood ,cf. NHG Minderheit),,,,,,,,,,,,,,,,,,,,,,,
minus,conj,"min, less than, take away",,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
minotaur,n,-,"mazebull, bullman",mazebull, bullman,,,,,,,,,,,,,,,,,,,,,,,,
minute,n,-,"mete, shortlog (cf. Latin minuta 'short note')",mete, shortlog ,cf. Latin minuta 'short note'),,,,,,,,,,,,,,,,,,,,,,,
miracle,n,"flash, wonder","craftwork (<Ic.), wonderwork, tacen",craftwork ,<Ic.), wonderwork, tacen,,,,,,,,,,,,,,,,,,,,,,
mirror,n,looking-glass,"shewer (<OE scūwa + -er, cf. goth. skuggwa ""mirror"")",shewer ,<OE scūwa + -er," cf. goth. skuggwa ""mirror"")",,,,,,,,,,,,,,,,,,,,,,,
misandrist,n,man-hater,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
misappropriate,vb,steal,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
misappropriative guest,n,-,stealguest (<OE stælġiest),stealguest ,<OE stælġiest),,,,,,,,,,,,,,,,,,,,,,,,
misappropriation,n,"stealing, theft",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
miscellany(eous),n/adj,"clatter, jumble, kitchen-sink, mishmash, mixed",sundry,sundry,,,,,,,,,,,,,,,,,,,,,,,,,
misdemeanour,n,wrongdoing,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
miser,n,"tightwad, skinflint, niggard",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
miserable,adj,"black, bleak, cheerless, dark, forlorn, glum, godforsaken, grey, sullen; downcast, hangdog, woeful; wreatched; ratty, run-down, threadbear",yomer (<OE geomor),yomer ,<OE geomor),,,,,,,,,,,,,,,,,,,,,,,,
misery,n,"angst, weakness, woe, sorrow, gloom, hardship",jermth (<OE iermðu)\nwanshaft (<OE wansceaft)\nunlithe (<OE unlæþu)\nunseel (<OE unsælþ)\nwearing (<OE weargung),jermth ,<OE iermðu)\nwanshaft ,<OE wansceaft)\nunlithe ,<OE unlæþu)\nunseel ,<OE unsælþ)\nwearing ,<OE weargung),,,,,,,,,,,,,,,,,,,,
misfortune,n,"mishap, harm","illfare, wanluck",illfare, wanluck,,,,,,,,,,,,,,,,,,,,,,,,
mismanage,vb,mishandle,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
misogynist,n,-,woman-hater,woman-hater,,,,,,,,,,,,,,,,,,,,,,,,,
misotheïsm,n,-,"mistroth, god-hating, hatred of god(s)",mistroth, god-hating, hatred of god,s),,,,,,,,,,,,,,,,,,,,,,
misplace,vb,mislay,"misstead, mis-stead",misstead, mis-stead,,,,,,,,,,,,,,,,,,,,,,,,
missile,n,-,"shot (<OE gescot, cf. NHG Geschoss)\nwarp",shot ,<OE gescot, cf. NHG Geschoss)\nwarp,,,,,,,,,,,,,,,,,,,,,,,
mission,n,"errand, undertaking, goal, task, ordeal",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
missionary,n,"sendling, errander","winfridsman, winfridster, winfridingman cf. Saint Boniface",winfridsman, winfridster, winfridingman cf. Saint Boniface,,,,,,,,,,,,,,,,,,,,,,,
mitigate,vb,soften,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mitochondrium,n,-,mightcorn,mightcorn,,,,,,,,,,,,,,,,,,,,,,,,,
mitosis,n,-,brickdealing,brickdealing,,,,,,,,,,,,,,,,,,,,,,,,,
mitten,n,-,fistling (cf. NHG Fäustling)\nfistglove (cf. NHG Fausthandschuh)\nwant (cf. Du. want),fistling ,cf. NHG Fäustling)\nfistglove ,cf. NHG Fausthandschuh)\nwant ,cf. Du. want),,,,,,,,,,,,,,,,,,,,,,
mobile (phone),n,"handset, handcaller","handblower, handy (cf. NHG Handy)",handblower, handy ,cf. NHG Handy),,,,,,,,,,,,,,,,,,,,,,,
mock,vb/adj,"man-made, sham; send up",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mockery,n,"hoker (ME, <OE hōcor)",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mode,n,"way, trend",,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
model,n,-,"pattern: forelay (cf. NHG Vorlage) dummy, forebeing",pattern: forelay ,cf. NHG Vorlage) dummy, forebeing,,,,,,,,,,,,,,,,,,,,,,,
modern,adj,newfangled,"nowtide (cf. Sw. nutida), nowalike",nowtide ,cf. Sw. nutida), nowalike,,,,,,,,,,,,,,,,,,,,,,,
modernise,vb,-,benew,benew,,,,,,,,,,,,,,,,,,,,,,,,,
modest,adj,"down-to-earth, meek",cush (<OE cúsc),cush ,<OE cúsc),,,,,,,,,,,,,,,,,,,,,,,,
modesty,n,,"beshedness/ beshedhood (cf. NHG bescheidenheit, Du. bescheidenheid)",beshedness/ beshedhood ,cf. NHG bescheidenheit, Du. bescheidenheid),,,,,,,,,,,,,,,,,,,,,,,
modify,vb,"wend, overhaul",awend,awend,,,,,,,,,,,,,,,,,,,,,,,,,
modification,n,"wending, overhaul, overhauling","awentness, awendedness\nawending",awentness, awendedness\nawending,,,,,,,,,,,,,,,,,,,,,,,,
modulation,n,-stringbending,sparkwave\n(music): wavebending,sparkwave\n,music): wavebending,,,,,,,,,,,,,,,,,,,,,,,,
moist,adj,"damp, wet, watery",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
molar,n,-,wongtooth (<OE wangtoð)grindtooth (<OE grindetoð),wongtooth ,<OE wangtoð)grindtooth ,<OE grindetoð),,,,,,,,,,,,,,,,,,,,,,,
molasses,n,-,sweetsap,sweetsap,,,,,,,,,,,,,,,,,,,,,,,,,
mold,vb,"build, make, shape",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
moment,n,"eyeblink, flash, heartbeat, twinkling","nutlog, eyeblinck, flash, heartbeat, twinkling, thraw/throwe (<ME þraw(e), þrowe (dialectal spelling variations), <OE þrāg) pl: thrawü",nutlog, eyeblinck, flash, heartbeat, twinkling, thraw/throwe ,<ME þraw,e), þrowe ,dialectal spelling variations), <OE þrāg) pl: thrawü,,,,,,,,,,,,,,,
monarch,n,king,"onewleld (<OE anwealda), self-reder",onewleld ,<OE anwealda), self-reder,,,,,,,,,,,,,,,,,,,,,,,
monarchism,n,kingdom,self-reding,self-reding,,,,,,,,,,,,,,,,,,,,,,,,,
monarchy,n,kingship,"sunderwield (<OE sundoranweald), self-rede kineship",sunderwield ,<OE sundoranweald), self-rede kineship,,,,,,,,,,,,,,,,,,,,,,,
monastery,n,,bedestow,bedestow,,,,,,,,,,,,,,,,,,,,,,,,,
monasticism,n,-,brotherlife,brotherlife,,,,,,,,,,,,,,,,,,,,,,,,,
money,n,"gelt, geld (native), fee, brass, mint, silver, sterling, penny, tradeworth,\nslang: kale, dough, buck",shat (<ME schat),shat ,<ME schat),,,,,,,,,,,,,,,,,,,,,,,,
moneybag,n,,sead (OE seod),sead ,OE seod),,,,,,,,,,,,,,,,,,,,,,,,
monitor,vb,"watch, oversee",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
monk,n,-,"brother (<OE), lonelord",brother ,<OE), lonelord,,,,,,,,,,,,,,,,,,,,,,,
monkey,n,-,tailape,tailape,,,,,,,,,,,,,,,,,,,,,,,,,
monkey-puzzle tree,n,-,tailape-puzzle tree,tailape-puzzle tree,,,,,,,,,,,,,,,,,,,,,,,,,
monologue,n,-,lonespeech,lonespeech,,,,,,,,,,,,,,,,,,,,,,,,,
monopoly,n,onesell (calque),-,-,,,,,,,,,,,,,,,,,,,,,,,,,
monster,n,fiend; dreadnaught,"nicker (<OE nicor); unhire (cf. NHG Ungeheuer, Dan./Norw. uhyre)",nicker ,<OE nicor); unhire ,cf. NHG Ungeheuer, Dan./Norw. uhyre),,,,,,,,,,,,,,,,,,,,,,
Montenegro,n,-,"Blackhill, Blackberg, Swartbarrow, Blackbarrow",Blackhill, Blackberg, Swartbarrow, Blackbarrow,,,,,,,,,,,,,,,,,,,,,,
monument,n,"keepsake, token; gravestone, headstone",thinktoken (cf. W.Fr. tinkteken),thinktoken ,cf. W.Fr. tinkteken),,,,,,,,,,,,,,,,,,,,,,,,
monumental,adj,overwhelming,awe-inblowing,awe-inblowing,,,,,,,,,,,,,,,,,,,,,,,,,
moor,n,heath,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
moose,n,(greater) elk,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
moral,adj,-,"sidely, sideful (OE sideful), thewfast (<OE geþéawfæst), thewful",sidely, sideful ,OE sideful), thewfast ,<OE geþéawfæst), thewful,,,,,,,,,,,,,,,,,,,,
morality,n,uprightness,"sideliness, thewfastness, douthness",sideliness, thewfastness, douthness,,,,,,,,,,,,,,,,,,,,,,,
morbid,adj,"cheerless, forlorn",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mordant,adj,biting,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
morgue,n,deadhouse,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
moribund,adj,"dying, deathbound",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mortal,n/adj,deadly (adj); wight (n),deathling,deathling,,,,,,,,,,,,,,,,,,,,,,,,,
mortality,n,"death, end, ending, endless sleep, forthfaring, bane, Grim Reaper",diesomeness,diesomeness,,,,,,,,,,,,,,,,,,,,,,,,,
mortgage,n,"wadset, homeloan",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mother nature,n,-,"Lady Lund, motherkin",Lady Lund, motherkin,,,,,,,,,,,,,,,,,,,,,,,,
mortuary,n,-,"deadhouse, undertaker's, bodyroom, bodyhouse",deadhouse, undertaker's, bodyroom, bodyhouse,,,,,,,,,,,,,,,,,,,,,,
mosaic,n,-,shardbild,shardbild,,,,,,,,,,,,,,,,,,,,,,,,,
mosquito,n,"gnat, midge, midgy",bloodfly,bloodfly,,,,,,,,,,,,,,,,,,,,,,,,,
moth (native),n,-,nightflinder (cf. NHG Nachtfalter),nightflinder ,cf. NHG Nachtfalter),,,,,,,,,,,,,,,,,,,,,,,,
motion,n,-,"shrithing, beweighing (cf. NHG Bewegung, Du. beweging), quickening, sway",shrithing, beweighing ,cf. NHG Bewegung, Du. beweging), quickening, sway,,,,,,,,,,,,,,,,,,,,
motionless,adj,stock-still,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
motive,n,-,"rethe, frume\nulterior: hinderthought (cf. NHG Hintergedanke)",rethe, frume\nulterior: hinderthought ,cf. NHG Hintergedanke),,,,,,,,,,,,,,,,,,,,,,,
motor,n,-,"wheels, drivework",wheels, drivework,,,,,,,,,,,,,,,,,,,,,,,,
motorboat,n,watercraft,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
motorcycle,n,-,"halfwain, halfwagon",halfwain, halfwagon,,,,,,,,,,,,,,,,,,,,,,,,
motorway,n,highway,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
motto,n,saying,pithword,pithword,,,,,,,,,,,,,,,,,,,,,,,,,
