English Word,class,Anglish (attested),Anglish (unattested),cleaned unattested,,,,,,,,,,,,,,,,,,,,,,,,,
accustom,vb,"wean, wean on, wean to",onwone (Barnes),onwone ,Barnes),,,,,,,,,,,,,,,,,,,,,,,,
accustomed,adj,"wont, used to",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
acephalous,adj,headless (Barnes),-,-,,,,,,,,,,,,,,,,,,,,,,,,,
acetone,n,-,sourghost,sourghost,,,,,,,,,,,,,,,,,,,,,,,,,
acid,n/adj,-,sour,sour,,,,,,,,,,,,,,,,,,,,,,,,,
acne,n,-,redmeal (OE mal 'spot'),redmeal ,OE mal 'spot'),,,,,,,,,,,,,,,,,,,,,,,,
aconite,n,wolfsbane,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
acoustics,n,-,dinlore,dinlore,,,,,,,,,,,,,,,,,,,,,,,,,
acquaint,vb,"befriend, get to know","ken (<OE cunnan (“to become acquainted with, to know”))",ken ,<OE cunnan ,“to become acquainted with, to know”)),,,,,,,,,,,,,,,,,,,,,,
acquaintance,n,"friend, neighbor",kenning,kenning,,,,,,,,,,,,,,,,,,,,,,,,,
acquiesce,vb,bow,thave (<OE),thave ,<OE),,,,,,,,,,,,,,,,,,,,,,,,
acquire,vb,"earn, foster, get, win",beget (<OE),beget ,<OE),,,,,,,,,,,,,,,,,,,,,,,,
acquisition,n,windfall (unexpected),begetting,begetting,,,,,,,,,,,,,,,,,,,,,,,,,
acrobat,n,-,stringtumb,stringtumb,,,,,,,,,,,,,,,,,,,,,,,,,
acropolis,n,-,highburg,highburg,,,,,,,,,,,,,,,,,,,,,,,,,
across,adv,over,"thwarse, thweer, athwart (Barnes)",thwarse, thweer, athwart ,Barnes),,,,,,,,,,,,,,,,,,,,,,
act,vb,"do, work, behave",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
